_id,name,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
ObjectId(5ffb514e80ef0812f270821d),Amul Kool Café Hazelnut  Ml Can,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,24,3.3,11,30,26.7,20,12,200ml,N,,,https://images-na.ssl-images-amazon.com/images/I/5142LbySjzL._SL1037_.jpg
ObjectId(5ffb514e80ef0812f270821e),Amul Dark Chocolate Milk Tetra Pack,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,20,2.75,11,25,22.25,20,12,180ml,N,,,https://images-na.ssl-images-amazon.com/images/I/616edm1fIpL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270821f),Amul Double Choc Milkshake  Tetra Pack,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,24,3.3,11,30,26.7,20,12,180ml,N,,,https://images-na.ssl-images-amazon.com/images/I/61bAfi-FTiL._SL1125_.jpg
ObjectId(5ffb514e80ef0812f2708220),Amul Pro Drink Tetra Pack,Amul,Kaira Coop Milk Producers (Anand),5,Beverages,24,3.3,11,30,26.7,20,12,250ml,Y,,,https://images-na.ssl-images-amazon.com/images/I/71wJPn1dQYL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708221),Amul Vanilla MS Tetra Pack,Amul,Kaira Coop Milk Producers (Anand),10,Beverages,160,93,46.5,200,107,20,12,1l,Y,,,https://amul.com/files/products/add/Amul_Vanilla_Milkshake.png
ObjectId(5ffb514e80ef0812f2708222),Amul Whipping Cream ,Amul,Kaira Coop Milk Producers (Anand),5,Breakfast & Dairy,55,4.83,7,69,64.17,20,5,250ml,N,,,https://images-na.ssl-images-amazon.com/images/I/51Nmb3EQmfL.jpg
ObjectId(5ffb514e80ef0812f2708223),Amul Fresh Cream Tetra Pack,Amul,Kaira Coop Milk Producers (Anand),7,Breakfast & Dairy,158,13.79,7,197,183.21,20,0,1l,Y,,,https://images-na.ssl-images-amazon.com/images/I/71xrLO3FK5L._SL1397_.jpg
ObjectId(5ffb514e80ef0812f2708224),Amul Fresh Cream Tetra Pack,Amul,Kaira Coop Milk Producers (Anand),7,Breakfast & Dairy,50,4.41,7,63,58.59,20,0,250ml,Y,,https://images-na.ssl-images-amazon.com/images/I/814gJqQRaeL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81UU-9npX1L._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708225),Amul Whipping Cream ,Amul,Kaira Coop Milk Producers (Anand),5,Breakfast & Dairy,168,14.7,7,210,195.3,20,5,1l,Y,,,https://www.bigbasket.com/media/uploads/p/l/30009313_4-amul-whipping-cream.jpg
ObjectId(5ffb514e80ef0812f2708226),Amul Lactose Free Milk ,Amul,Kaira Coop Milk Producers (Anand),5,Breakfast & Dairy,20,2.5,10,25,22.5,20,5,250ml,Y,,https://images-na.ssl-images-amazon.com/images/I/A1aCOJKu7OL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71VofBkeglL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708227),Amul Gold Standardised Milk Tetra Pack,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,54,4.08,6,68,63.92,20,5,1l,Y,,https://images-na.ssl-images-amazon.com/images/I/71bpjn2Ui4L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71b0D5QmWFL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708228),Amul Slim n Trim UHT Skimmed Milk ,Amul,Kaira Coop Milk Producers (Anand),5,Breakfast & Dairy,60,7.5,10,75,67.5,20,5,1l,Y,,https://images-na.ssl-images-amazon.com/images/I/71CYfCnlcWL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61w9BSa2UOL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708229),Amul Taaza Fresh Toned Milk tetra Pack,Amul,Kaira Coop Milk Producers (Anand),8,Breakfast & Dairy,51,6.7,10.46875,64,57.3,20,5,1l,Y,,https://images-na.ssl-images-amazon.com/images/I/81j1LquhkJL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81Uje4%2B4yFL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270822a), Amul Butter cookies ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",8,1.2,12,10,8.8,20,18,32g,N,,,https://images-na.ssl-images-amazon.com/images/I/51u0zYRR10L.jpg
ObjectId(5ffb514e80ef0812f270822b),Amul Coconut cookies,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",12,1.8,12,15,13.2,20,18,50g,N,,,https://images-na.ssl-images-amazon.com/images/I/71QoxCHcH9L._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270822c),Amul Oats & Honey Cookies ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",12,1.8,12,15,13.2,20,18,50g,N,,,https://basketpay.in/wp-content/uploads/2020/05/01-666x666.jpg
ObjectId(5ffb514e80ef0812f270822d),Amul Nuts & Raisins Cookies ,Amul,Kaira Coop Milk Producers (Anand),5,"Biscuits, Snacks & Chocolates",16,2.4,12,20,17.6,20,18,50g,N,,,https://ekcon.online/pub/media/catalog/product/cache/7/image/265x265/beff4985b56e3afdbeabfc89641a4582/d/_/d_1dzd9u0aan09i.jpg
